title,authors,where_published,DOI,provenance,source_wg_report,study_specific_inclusion_notes,year,duplicate_group,duplicate_of_or_relation,relevance_tier,prior_wg_status,publication_type,numpages,assignment_scope,catalogue_status,catalogue_entry_id,catalogue_file,exclusion_reason
A Data Science Course Utilizing GenAI,"Browning, Jonathan W.; Bustard, John; Anderson, Neil; Galway, Leo",2024 IEEE Frontiers in Education Conference (FIE),10.1109/fie61694.2024.10893452,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [14],The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: A notable innovation of our approach is the introduction of a dual-report assessment method, which not only evaluates the students' project results but also their proficiency in prompt engineering - a crucial skill for effective interaction with genAI tools.",2024,DG020,same work as canonical occurrence in DG020; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG report reference,,,Yes,loaded,assessment:data-science-dual-report-genai,site/public/data/assessments/assessment-data-science-dual-report-genai.json,
A Feasibility Study on Automated SQL Exercise Generation with ChatGPT-3.5,"Aerts, Willem; Fletcher, George; Miedema, Daphne",Proceedings of the 3rd International Workshop on Data Systems Education: Bridging Education Practice with Education Research,10.1145/3663649.3664368,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 39,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Existing research in Computer Science Education has shown that Large Language Models (LLMs) can generate coding exercises.",2024,DG104,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,3-assignment feedback/support or student use,2025 WG dataset: upper,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
A Feasibility Study on Automated SQL Exercise Generation with ChatGPT-3.5,"Aerts, Willem; Fletcher, George; Miedema, Daphne",Proceedings of the 3rd International Workshop on Data Systems Education: Bridging Education Practice with Education Research,10.1145/3663649.3664368,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [1],The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Existing research in Computer Science Education has shown that Large Language Models (LLMs) can generate coding exercises.",2024,DG104,same work as canonical occurrence in DG104; preserved for distinct provenance,3-assignment feedback/support or student use,2025 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
A High-Quality Generation Approach for Educational Programming Projects Using LLM,"Song, Tian; Zhang, Hang; Xiao, Yijia",IEEE Transactions on Learning Technologies,10.1109/tlt.2024.3499751,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 180,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: We propose ten evaluation metrics across three aspects to assess project quality through expert grading.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:llm-generated-programming-projects,site/public/data/assessments/assessment-llm-generated-programming-projects.json,
A Novel Framework using Large Language Models to Automate Coursework Feedback for Computer Science modules,"Yaqub, Irfan; Chen, Zhiyuan; Liao, Iman Yi; Maul, Tomas; Seow, Hsin-Vonn; Chandesa, Tissa",Proceedings of the 2024 16th International Conference on Education Technology and Computers,10.1145/3702163.3702182,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 62,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Prompt and sufficient feedback is essential for students' academic learning since it enables them to review their learning techniques and improve their areas of weakness.",2025,,,3-assignment feedback/support or student use,2025 WG dataset: upper,,,Yes,,,,Did not meet the review's eligibility criteria
A PBL-Based Mini Course Module for Teaching Computer Science Students to Utilize Generative AI for Enhanced Learning,"Kusam, Venkata Alekhya; Shrestha, Summit; Kattan, Khalid; Maxim, Bruce; Song, Zheng",2024 IEEE Frontiers in Education Conference (FIE),10.1109/fie61694.2024.10893118,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 95,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: The rapid rise of GAI is transforming education by providing students with easy access to knowledge and answers to their questions, acting as a personal tutor.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: upper,,,Yes,loaded,assessment:pbl-custom-genai-mini-project,site/public/data/assessments/assessment-pbl-custom-genai-mini-project.json,
A Picture Is Worth a Thousand Words: Exploring Diagram and Video-Based OOP Exercises to Counter LLM Over-Reliance,Bruno Pereira Cipriano; Pedro Alves; Paul Denny,arXiv,10.48550/arXiv.2403.08396,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 6,Beyond the Hype (ITiCSE 2024 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: Although the results are somewhat balanced between the agreement and disagreement sides, in the first two questions, more students agree with the benefits of dia- grammatic exercises.",2024,,,2-authentic assignment/assessment evidence,2024 WG extraction: Yes,,,Yes,loaded,assessment:oop-diagram-video-variants,site/public/data/assessments/assessment-oop-diagram-video-variants.json,
A RAG-based Feedback Tool to Augment UML Class Diagram Learning,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Scalera, Michele",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,10.1145/3652620.3687784,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 26,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Built upon an integrated Retrieval Augmented Generation Large Language Model, the functionality provides enriched feedback by leveraging accumulated knowledge.",2024,,,3-assignment feedback/support or student use,2025 WG dataset: upper,,,Yes,loaded,assessment:rag-uml-class-diagram-feedback,site/public/data/assessments/assessment-rag-uml-class-diagram-feedback.json,
A Survey Study on the State of the Art of Programming Exercise Generation Using Large Language Models,"Frankford, Eduard; Höhn, Ingo; Sauerwein, Clemens; Breu, Ruth",2024 36th International Conference on Software Engineering Education and Training (CSEE&T),10.1109/cseet62301.2024.10662990,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 198,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: This paper analyzes Large Language Models (LLMs) with regard to their programming exercise generation capabilities.",2024,,,3-assignment feedback/support or student use,2025 WG dataset: other; classifier=NOT_RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
A Systematic Evaluation of Code-generating Chatbots for Use in Undergraduate Computer Science Education,"Torek, Adam; Sorensen, Elijah; Hahle, Natalie; Kennington, Casey",2024 IEEE Frontiers in Education Conference (FIE),10.1109/fie61694.2024.10893165,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 225,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: In this work, we evaluate the capabilities and limitations of four known, open-source, code-based chatbots in programming tasks by performing a standardized study in which different chatbots are tasked with providing answers for a variety of assignments from Boise State University's computer science program.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
"A Systematic Literature Review of the Opportunities and Advantages for AIGC (OpenAI ChatGPT, Copilot, Codex) in Programming Course","Chang, Chi In; Choi, Wan Chong; Choi, Iek Chong",Proceedings of the 2024 7th International Conference on Big Data and Education,10.1145/3704289.3704301,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 163,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: Key opportunities and advantages identified included enhanced code review, where AIGC tools offer efficient and comprehensive assessments; personalized learning, with ChatGPT providing individualized feedback and improving student comprehension; and increased student engagement and motivation through interactive features.",2025,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
A Systematic Study on the Potentials and Limitations of LLM-assisted Software Development,"Michelutti, Chiara; Eckert, Jens; Monecke, Milko; Klein, Julian; Glesner, Sabine",2024 2nd International Conference on Foundation and Large Language Models (FLLM),10.1109/fllm63129.2024.10852455,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 186,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: We present the results of our systematic study in which we investigate the potential of ChatGPT, based on GPT-4, in solving assignments of an introductory-level programming class.",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Academic Use of ChatGPT: Examining the Trends According to Disciplines,"Bircan, Abdullah; Mandal, Dilek; Kösesoy, İrfan",2024 8th International Artificial Intelligence and Data Processing Symposium (IDAP),10.1109/idap64064.2024.10710971,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 229,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: However, there has been no comprehensive examination in the literature of which academic disciplines focus on ChatGPT and which areas have attracted more interest.This study aims to systematically examine academic publications related to ChatGPT and to identify the disciplines in which this technology is more widely adopted, as well as the areas where intens",2024,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=NOT_RELEVANT,,,No,,,,Assessment not a substantive object of study
Accessible and Reliable AI Coding Tutors: Augmenting Large Language Models with Retrieval-Augmented Generation for Java Programming,"i Vilar, Guiu Puigcercos; Rashid, Parvez; Tonekaboni, Navid Hashemi",2025 IEEE Global Engineering Education Conference (EDUCON),10.1109/educon62633.2025.11016497,the-rest-of-the-robots-github/output/not_relevant_for_wg.csv / not-relevant row 859,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks.",2025,,,3-assignment feedback/support or student use,2025 WG dataset: not-relevant; classifier=RELEVANT,,,Yes,loaded,assessment:java-rag-coding-tutor-exercises,site/public/data/assessments/assessment-java-rag-coding-tutor-exercises.json,
Achievement Goals in CS1-LLM,"Vadaparty, Annapurna; Geng, Francis; Smith, David H; Benario, Jamie Gorson; Zingaro, Daniel; Porter, Leo",Proceedings of the 27th Australasian Computing Education Conference,10.1145/3716640.3716656,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 153,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: Introduction: The emergence and widespread adoption of generative AI (GenAI) chatbots such as ChatGPT, and programming assistants such as GitHub Copilot, have radically redefined the landscape of programming education.",2025,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
Active Repos: Integrating Generative AI Workflows into GitHub,"Glassey, Richard; Baltatzis, Alexander",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 2,10.1145/3649405.3659517,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 66,The Rest of the Robots (ITiCSE 2025 WG),Proposes and reports a GitHub-based GenAI workflow implemented for a CS1 course; possibly relevant as infrastructure for redesigned assignment workflows.,2024,,,4-borderline assignment-relevant context,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:active-repos-genai-workflow,site/public/data/assessments/assessment-active-repos-genai-workflow.json,
AI Integration in the IT Professional Workplace: A Scoping Review and Interview Study with Implications for Education and Professional Competencies,"Clear, Tony; Cajander, Asa; Clear, Alison; McDermott, Roger; Daniels, Mats; Divitini, Monica; Forshaw, Matthew; Humble, Niklas; Kasinidou, Maria; Kleanthous, Styliani; Kultur, Can; Parvini, Ghazaleh; Polash, Mohammad; Zhu, Tingting",2024 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3689187.3709607,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 136,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: The research aimed to understand the implications for computing students, education curricula, and the assessment of emerging professional competencies.The literature review found insufficient evidence addressing comprehensive AI practice methodologies, highlighting the need to both develop and regulate professional competencies for effective AI integration.",2025,DG110,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,1-direct implemented/proposed course or assignment change,2025 WG dataset: other; classifier=NOT_RELEVANT,,,No,,,,Assessment not a substantive object of study
AI Integration in the IT Professional Workplace: A Scoping Review and Interview Study with Implications for Education and Professional Competencies,"Clear, Tony; Cajander, Asa; Clear, Alison; McDermott, Roger; Daniels, Mats; Divitini, Monica; Forshaw, Matthew; Humble, Niklas; Kasinidou, Maria; Kleanthous, Styliani; Kultur, Can; Parvini, Ghazaleh; Polash, Mohammad; Zhu, Tingting",2024 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3689187.3709607,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [21],The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: The research aimed to understand the implications for computing students, education curricula, and the assessment of emerging professional competencies.The literature review found insufficient evidence addressing comprehensive AI practice methodologies, highlighting the need to both develop and regulate professional competencies for effective AI integration.",2025,DG110,same work as canonical occurrence in DG110; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG report reference,,,No,,,,Assessment not a substantive object of study
"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course","Woodrow, Juliette; Malik, Ali; Piech, Chris",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630773,beyond-the-hype.pdf + beyond-the-hype.html / References [156],Beyond the Hype (ITiCSE 2024 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: However, providing this ""style feedback"" in a timely manner has proven difficult to scale.",2024,DG051,same work as canonical occurrence in DG051; preserved for distinct provenance,3-assignment feedback/support or student use,2024 WG report reference,,,Yes,loaded,assessment:code-in-place-style-feedback,site/public/data/assessments/assessment-code-in-place-style-feedback.json,
"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course","Woodrow, Juliette; Malik, Ali; Piech, Chris",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630773,beyond-the-hype.zip::Extraction Sheet Responses.xlsx / Form Responses 1 row 108,Beyond the Hype (ITiCSE 2024 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: However, providing this ""style feedback"" in a timely manner has proven difficult to scale.",2024,DG051,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,3-assignment feedback/support or student use,2024 WG extraction: Yes,,,Yes,loaded,assessment:code-in-place-style-feedback,site/public/data/assessments/assessment-code-in-place-style-feedback.json,
"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course","Woodrow, Juliette; Malik, Ali; Piech, Chris",Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3626252.3630773,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 77,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: However, providing this ""style feedback"" in a timely manner has proven difficult to scale.",2024,DG051,same work as canonical occurrence in DG051; preserved for distinct provenance,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:code-in-place-style-feedback,site/public/data/assessments/assessment-code-in-place-style-feedback.json,
AI-Generated Code Not Considered Harmful,"Kendon, Tyson and Wu, Leanne and Aycock, John",Proceedings of the 25th Western Canadian Conference on Computing Education,10.1145/3593342.3593349,beyond-the-hype.pdf + beyond-the-hype.html / References [61],Beyond the Hype (ITiCSE 2024 WG),"Borderline: the paper broadly discusses computing-course assessment or assignment redesign, but the supplied metadata does not establish a specific implemented assignment change. Supplied evidence: We need not interpret this to mean that more, potentially automated, policing of student assignments is necessary: automated policing of student work is already fraught with complications and ethical concerns.",2023,DG042,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,4-borderline assignment-relevant context,2024 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
AI-Generated Code Not Considered Harmful,"Kendon, Tyson and Wu, Leanne and Aycock, John",Proceedings of the 25th Western Canadian Conference on Computing Education,10.1145/3593342.3593349,the-robots-are-here.pdf + the-robots-are-here.html / References [109],The Robots Are Here (ITiCSE 2023 WG),"Borderline: the paper broadly discusses computing-course assessment or assignment redesign, but the supplied metadata does not establish a specific implemented assignment change. Supplied evidence: We need not interpret this to mean that more, potentially automated, policing of student assignments is necessary: automated policing of student work is already fraught with complications and ethical concerns.",2023,DG042,same work as canonical occurrence in DG042; preserved for distinct provenance,4-borderline assignment-relevant context,2023 WG report reference,,,Yes,,,,Duplicate or related occurrence; canonical occurrence retained
AI-Tutoring in Software Engineering Education,"Frankford, Eduard; Sauerwein, Clemens; Bassner, Patrick; Krusche, Stephan; Breu, Ruth",Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,10.1145/3639474.3640061,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 199,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: However, the scientific evaluation of Large Language Models (LLMs) used in Automated Programming Assessment Systems (APASs) as an AI-Tutor remains largely unexplored.",2024,DG083,same work as canonical occurrence in DG083; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:se-ai-tutor-programming-assessments,site/public/data/assessments/assessment-se-ai-tutor-programming-assessments.json,
AI-Tutoring in Software Engineering Education,"Frankford, Eduard; Sauerwein, Clemens; Bassner, Patrick; Krusche, Stephan; Breu, Ruth",Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,10.1145/3639474.3640061,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 4,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: However, the scientific evaluation of Large Language Models (LLMs) used in Automated Programming Assessment Systems (APASs) as an AI-Tutor remains largely unexplored.",2024,DG083,same work as canonical occurrence in DG083; preserved for distinct provenance,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:se-ai-tutor-programming-assessments,site/public/data/assessments/assessment-se-ai-tutor-programming-assessments.json,
